Sr.#,ISBN#,title,Traslation,author names,Category,language,number of pages,publisher name,published date,totalQuantity,unitCost,unitSellingPrice,discount (%age or Rs.),Price After Discount,Cover Image file name
1,978-969-7879-15-1,kamyabi ka pegham,,qasim ali shah,self help,urdu,192,Nai soch publishers,,,,500,,,
2,978-969-7879-16-8,zara num ho,,qasim ali shah,self help,urdu,112,Nai soch publishers,,,,300,,,
3,978-969-7879-17-5,bari manzil ka musafir,,qasim ali shah,self help,urdu,255,Nai soch publishers,,,,500,,,
4,978-969-7879-18-2,unchi udaan ,,qasim ali shah,self help,urdu,255,Nai soch publishers,,,,500,,,
5,978-969-7879-19-9,apni talash,,qasim ali shah,self help,urdu,190,Nai soch publishers,,,,400,,,
6,978-969-7879-22-9,soch ka hamalia ,,qasim ali shah,self help,urdu,287,Nai soch publishers,,,,600,,,
7,978-969-7879-20-5,career encyclopedia,,qasim ali shah,self help,urdu,328,Nai soch publishers,,,,700,,,
8,978-969-7879-23-6,ap ka bacha kamyab ho sakta hai ,,qasim ali shah,self help,urdu,200,Nai soch publishers,,,,500,,,
9,978-969-7879-27-4,targheeb ,,qasim ali shah,self help,urdu,139,Nai soch publishers,,,,400,,,
10,978-969-7879-28-1,guftugu qasim ali shah kay sath ,,qasim ali shah,self help,urdu,260,Nai soch publishers,,,,700,,,
11,978-969-7879-29-8,teacher sy trainer tak ,,qasim ali shah,self help,urdu,197,Nai soch publishers,,,,600,,,
12,978-969-7879-21-2,365 aqwaal,,qasim ali shah,self help,urdu,365,Nai soch publishers,,,,350,,,
13,978-969-652-133-4,jeet ki janib ,Qasim ali shah ,gary Keller / jay papasan,self help,urdu,224,jumhuri publication,,,,640,,,
14,978-969-7879-02-1,harf harf haqeeqat,,wasif ali wasif ,islamic,urdu,176,Nai soch publishers,,,,500,,,
15,978-969-7879-03-8,dil darya samandar ,,wasif ali wasif ,islamic,urdu,192,Nai soch publishers,,,,500,,,
16,978-969-7879-04-5,qatra qatra qulzam ,,wasif ali wasif ,islamic,urdu,160,Nai soch publishers,,,,500,,,
17,978-969-7879-06-9,kiran kiran suraj ,,wasif ali wasif ,islamic,urdu,112,Nai soch publishers,,,,400,,,
18,978-969-7879-24-3,dareechay ,,wasif ali wasif ,islamic,urdu,112,Nai soch publishers,,,,400,,,
19,978-969-7879-05-2,baat sy baat ,,wasif ali wasif ,islamic,urdu,112,Nai soch publishers,,,,400,,,
20,978-969-7879-01-4,wasfiat ,,wasif ali wasif ,islamic,urdu,528,Nai soch publishers,,,,1300,,,
21,978-969-7879-00-7,aqwaal e wasif ali wasif,,wasif ali wasif ,islamic,urdu,336,Nai soch publishers,,,,1000,,,
22,978-969-7879-08-3,misali ikhlaqiat ,,qayyu nizami ,self help,urdu,263,Nai soch publishers,,,,500,,,
23,978-969-7879-09-0,na mumkin sy mumkin ka safar ,,ch abdul aziz ,self help,urdu,223,Nai soch publishers,,,,500,,,
24,978-969-7879-26-7,ubharta suraj ,syed irfan ,robin sharma,self help,urdu,460,Nai soch publishers,,,,700,,,
25,978-969-7879-25-0,champion student ,,abdul salam ,self help,urdu,176,Nai soch publishers,,,,400,,,
26,978-969-7879-10-6,assan time management ,,syed irfan ,self help,urdu,160,Nai soch publishers,,,,400,,,
27,978-969-7879-11-3,zindagi mehdood nahi ,,syed irfan ,self help,urdu,152,Nai soch publishers,,,,400,,,
28,978-969-7879-12-0,bharpur khudaitmadi ,,syed irfan ,self help,urdu,152,Nai soch publishers,,,,400,,,
29,978-969-7879-13-7,umeed zindagi ,,syed irfan ,self help,urdu,96,Nai soch publishers,,,,300,,,
30,978-969-7879-14-4,kamyab nojawan ,,syed irfan ,self help,urdu,188,Nai soch publishers,,,,450,,,
31,978-969-7879-35-9,zangar nama,,amir khakwani,self help,urdu,416,Nai soch publishers,,,,700,,,
32,978-969-7879-40-3,kamyabi kay liay number nahi kafi,shehzad nayyar ,robert t kyioski,self help,urdu,264,Nai soch publishers,,,,600,,,
33,978-969-7879-42-7,zehan bolta hai ,,miss sofia sohail,psychology,urdu,208,Nai soch publishers,,,,500,,,
34,978-969-7879-44-1,mukhtasir nafsiati elaj,,prof arshad javed ,psychology,urdu,356,Nai soch publishers,,,,600,,,
35,978-969-7879-38-0,leadership and management ,,keetab,self help,urdu,173,Nai soch publishers,,,,500,,,
36,978-969-7879-39-7,personal development,,keetab,self help,urdu,181,Nai soch publishers,,,,500,,,
37,978-969-7879-37-3,sales and marketing,,keetab,self help,urdu,205,Nai soch publishers,,,,500,,,
38,978-969-7879-36-6,business,,keetab,self help,urdu,183,Nai soch publishers,,,,500,,,
39,978-969-7879-31-1,sheetani kaneesa,,tariq ismail saghar ,novel,urdu,320,Nai soch publishers,,,,600,,,
40,978-969-7879-30-4,ganga sy palwama ,,tariq ismail saghar ,novel,urdu,395,Nai soch publishers,,,,1000,,,
41,978-969-7879-32-8,mai aik jasus thaa,,tariq ismail saghar ,novel,urdu,327,Nai soch publishers,,,,600,,,
42,978-969-7879-,kohetoor sy ahram misar ,,altaf ahmed amir,safar nama ,urdu,141,Nai soch publishers,,,,600,,,
